Time,FuelQuantity,OilPressure,OilTemperature,LatitudePosition,LongitudePosition
02-Jun-2001 05:41:12.000,8048,0,23.6747741699219,44.8915134735503,-63.5191830149607
02-Jun-2001 05:41:13.000,8048,0,23.6747741699219,44.8915134735503,-63.5191830149607
02-Jun-2001 05:41:14.000,8048,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:15.000,8040,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:16.000,8032,0,25.0178833007812,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:17.000,8048,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:18.000,8040,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:19.000,8040,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:20.000,8040,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:21.000,8032,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:22.000,8040,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:23.000,8040,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:24.000,8040,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:25.000,8040,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:26.000,8032,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:27.000,8032,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:28.000,8032,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:29.000,8040,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:30.000,8032,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:31.000,8032,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:32.000,8032,0,25.0178833007812,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:33.000,8032,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:34.000,8032,0,23.6747741699219,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:35.000,8032,0,25.0178833007812,44.8915134735503,-63.5189992012946
02-Jun-2001 05:41:36.000,8032,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:37.000,8032,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:38.000,8032,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:39.000,8032,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:40.000,8032,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:41.000,8032,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:42.000,8032,0,25.0178833007812,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:43.000,8032,0,25.0178833007812,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:44.000,8024,0,25.0178833007812,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:45.000,8040,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:46.000,8032,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:47.000,8024,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:48.000,8040,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:49.000,8032,0,25.0178833007812,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:50.000,8032,0,25.0178833007812,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:51.000,8032,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:52.000,8032,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:53.000,8032,0,23.6747741699219,44.8915134735503,-63.5188307054341
02-Jun-2001 05:41:54.000,8032,0,23.6747741699219,44.8915134735503,-63.5186622095735
02-Jun-2001 05:41:55.000,8032,0,23.6747741699219,44.8915134735503,-63.5186622095735
02-Jun-2001 05:41:56.000,8024,0,25.0178833007812,44.8915134735503,-63.5186622095735
02-Jun-2001 05:41:57.000,8024,0,23.6747741699219,44.8916819694109,-63.5186622095735
02-Jun-2001 05:41:58.000,8024,0,23.6747741699219,44.8916819694109,-63.5186622095735
02-Jun-2001 05:41:59.000,8024,0,23.6747741699219,44.8916819694109,-63.5186622095735
02-Jun-2001 05:42:00.000,8024,0,23.6747741699219,44.8916819694109,-63.5186622095735
02-Jun-2001 05:42:01.000,8032,0,25.0178833007812,44.8916819694109,-63.5186622095735
02-Jun-2001 05:42:02.000,8024,0,23.6747741699219,44.8916819694109,-63.5186622095735
02-Jun-2001 05:42:03.000,8032,0,23.6747741699219,44.8916819694109,-63.5186622095735
02-Jun-2001 05:42:04.000,8032,0,23.6747741699219,44.8916819694109,-63.5186622095735
02-Jun-2001 05:42:05.000,8040,0,23.6747741699219,44.8916819694109,-63.5186622095735
02-Jun-2001 05:42:06.000,8032,0,23.6747741699219,44.8916819694109,-63.5186622095735
02-Jun-2001 05:42:07.000,8032,0,23.6747741699219,44.8916819694109,-63.5186622095735
02-Jun-2001 05:42:08.000,8032,0,23.6747741699219,44.8916819694109,-63.5186622095735
02-Jun-2001 05:42:09.000,8032,0,25.0178833007812,44.8916819694109,-63.5186622095735
